Fecha,Hora,Velocidad_Bajada,Velocidad_Subida
22-02-2022,11:17:30,128.32,16.06
22-02-2022,11:18:30,159.25,16.94
22-02-2022,11:19:30,45.11,34.47
22-02-2022,11:20:29,202.12,22.71
22-02-2022,11:21:30,149.93,24.94
22-02-2022,11:22:30,165.5,16.81
22-02-2022,11:23:30,102.18,17.42
22-02-2022,11:24:30,164.22,25.12
22-02-2022,11:25:30,208.32,14.12
22-02-2022,11:26:30,191.92,16.83
22-02-2022,11:27:30,154.93,9.7
22-02-2022,11:28:30,102.09,15.87
22-02-2022,11:29:30,146.81,23.6
22-02-2022,11:30:30,158.55,29.45
22-02-2022,11:31:30,150.9,43.99
22-02-2022,11:32:30,188.46,19.07
22-02-2022,11:33:30,197.91,38.85
22-02-2022,11:34:30,160.78,17.85
22-02-2022,11:35:30,33.2,12.82
22-02-2022,11:36:30,165.16,11.63
22-02-2022,11:37:30,176.11,18.69
22-02-2022,11:38:29,202.44,18.59
22-02-2022,11:39:30,129.72,12.36
22-02-2022,11:40:30,80.71,8.83
22-02-2022,11:41:30,168.94,13.89
22-02-2022,11:42:30,162.25,38.11
22-02-2022,11:43:29,43.31,34.78
22-02-2022,11:44:30,114.5,10.23
22-02-2022,11:45:30,71.64,13.87
22-02-2022,11:46:32,74.8,17.05
22-02-2022,11:47:30,77.45,37.44
22-02-2022,11:48:30,114.59,19.17
22-02-2022,11:49:30,156.31,14.95
22-02-2022,11:50:30,88.76,13.47
22-02-2022,11:51:30,190.13,38.67
22-02-2022,11:52:30,174.29,13.33
22-02-2022,11:53:30,48.35,18.81
22-02-2022,11:54:30,145.8,13.63
22-02-2022,11:55:29,217.96,19.45
22-02-2022,11:56:30,123.02,12.73
22-02-2022,11:57:30,125.19,19.01
22-02-2022,11:58:30,130.86,14.43
22-02-2022,11:59:29,173.48,33.88
22-02-2022,12:00:30,177.45,32.55
22-02-2022,12:01:30,152.25,31.67
22-02-2022,12:02:30,122.74,27.66
