Nombre_de_conexion,Servidor,Duracion_(s),Ping_minimo,Ping_maximo,Ping_Promedio,Jitter,Paquetes_enviados,Paquetes_perdidos
Starlink_Larosa,www.google.com,5,32,40,35.8,3.0,5,0
Starlink_Larosa,www.google.com,5,43,47,43.8,2.0,5,0
Starlink_Larosa,www.google.com,15,31,45,34.4,3.57,15,0
Starlink_Larosa,www.google.com,15,26,42,30.53,1.93,15,0
Starlink_Larosa,www.google.com,5,30,36,32.0,1.5,5,0
Starlink_Larosa,www.google.com,5,14,38,31.2,12.75,5,0
Starlink_Larosa,www.google.com,5,32,38,33.6,2.0,5,0
Starlink_Larosa,www.google.com,15,26,32,28.67,1.43,15,0
Starlink_Larosa,www.google.com,20,25,34,30.0,2.11,20,0
Starlink_Larosa,www.google.com,20,7,91,33.05,13.42,20,0
Starlink_Larosa,www.google.com,30,26,57,32.37,4.45,30,0
Starlink_Larosa,www.google.com,10,26,59,35.5,8.0,10,0
Starlink_Larosa,www.google.com,9223372036854775807,0,98,32.13,3.74,9223372036854775807,31
Starlink_Larosa,www.google.com,60,11,99,45.65,12.29,60,0
