Fecha,Hora,Host,Bajada,Subida
17-02-2022,00:41:04,sp5.wom.cl:8080,201.17,191.48
17-02-2022,00:42:03,sp5.wom.cl:8080,189.74,164.9
17-02-2022,00:46:56,sp5.wom.cl:8080,198.93,194.03
17-02-2022,00:47:55,sp5.wom.cl:8080,199.7,121.14
