Fecha,Hora,Host,Bajada,Subida
14-02-2022,11:37:30,speedtest.tuwifi.cl:8080,254.51,17.49
14-02-2022,11:38:30,speedtest.tuwifi.cl:8080,190.67,16.92
14-02-2022,11:39:30,speedtest.tuwifi.cl:8080,127.93,17.86
14-02-2022,11:40:30,speedtest.tuwifi.cl:8080,177.64,30.79
14-02-2022,11:41:30,speedtest.tuwifi.cl:8080,93.64,26.18
14-02-2022,11:42:30,speedtest.tuwifi.cl:8080,177.1,14.83
14-02-2022,11:43:30,speedtest.tuwifi.cl:8080,117.2,1.64
14-02-2022,11:44:30,speedtest.tuwifi.cl:8080,183.07,32.54
14-02-2022,11:45:30,speedtest.tuwifi.cl:8080,222.16,20.71
14-02-2022,11:46:30,speedtest.tuwifi.cl:8080,180.98,11.92
14-02-2022,11:47:31,speedtest.tuwifi.cl:8080,60.28,16.78
14-02-2022,11:48:30,speedtest.tuwifi.cl:8080,67.73,14.92
14-02-2022,11:49:30,speedtest.tuwifi.cl:8080,241.96,21.59
14-02-2022,11:50:30,speedtest.tuwifi.cl:8080,204.71,52.0
14-02-2022,11:51:30,speedtest.tuwifi.cl:8080,123.99,16.59
14-02-2022,11:52:30,speedtest.tuwifi.cl:8080,158.26,21.88
16-02-2022,11:16:53,nacional.grupogtd.com:8080,91.0,13.57
16-02-2022,11:17:53,nacional.grupogtd.com:8080,63.83,15.47
16-02-2022,11:20:43,speedtest1.entelchile.net:8080,226.07,22.61
16-02-2022,11:21:42,speedtest1.entelchile.net:8080,82.85,21.07
16-02-2022,11:24:15,speedtest.optiwisp.cl:8080,154.54,13.9
16-02-2022,11:25:14,speedtest.optiwisp.cl:8080,204.75,13.45
16-02-2022,11:28:43,speedtest1.entelchile.net:8080,98.85,25.5
16-02-2022,11:29:42,speedtest1.entelchile.net:8080,151.1,16.21
16-02-2022,11:32:27,speedtest.purum.cl:8080,182.71,17.24
16-02-2022,11:33:27,speedtest.purum.cl:8080,219.44,24.91
16-02-2022,16:32:56,speedtest.orbyta.com:8080,84.31,7.91
16-02-2022,17:09:03,lanproject.cl:8080,112.11,15.01
16-02-2022,17:10:03,lanproject.cl:8080,78.95,17.7
16-02-2022,17:37:51,speedtest.insacom.cl:8080,106.97,17.38
16-02-2022,17:38:51,speedtest.insacom.cl:8080,107.06,30.59
16-02-2022,17:42:01,speedtest.netglobalis.net:8080,109.76,30.63
16-02-2022,17:44:21,speedtest.clarochile.cl:8080,124.59,16.56
21-02-2022,18:09:42,speedtest.insacom.cl:8080,215.0,26.76
21-02-2022,18:10:42,speedtest.insacom.cl:8080,127.93,17.02
21-02-2022,18:11:41,speedtest.insacom.cl:8080,83.63,46.76
21-02-2022,18:12:42,speedtest.insacom.cl:8080,40.28,11.89
21-02-2022,18:13:42,speedtest.insacom.cl:8080,45.48,19.89
21-02-2022,18:14:42,speedtest.insacom.cl:8080,123.77,12.53
21-02-2022,18:15:42,speedtest.insacom.cl:8080,100.6,32.94
21-02-2022,18:16:42,speedtest.insacom.cl:8080,65.28,27.33
21-02-2022,18:17:41,speedtest.insacom.cl:8080,87.84,20.07
21-02-2022,18:18:41,speedtest.insacom.cl:8080,37.53,27.86
21-02-2022,18:19:41,speedtest.insacom.cl:8080,201.37,25.6
21-02-2022,18:20:42,speedtest.insacom.cl:8080,97.47,15.38
21-02-2022,18:21:42,speedtest.insacom.cl:8080,40.27,30.2
21-02-2022,18:22:41,speedtest.insacom.cl:8080,44.29,15.61
21-02-2022,18:23:42,speedtest.insacom.cl:8080,98.66,18.78
21-02-2022,18:24:42,speedtest.insacom.cl:8080,42.87,15.67
21-02-2022,18:25:42,speedtest.insacom.cl:8080,74.16,40.06
21-02-2022,18:26:41,speedtest.insacom.cl:8080,153.53,33.28
21-02-2022,18:27:42,speedtest.insacom.cl:8080,174.92,13.4
21-02-2022,18:28:42,speedtest.insacom.cl:8080,44.65,16.83
21-02-2022,18:29:41,speedtest.insacom.cl:8080,129.28,43.54
21-02-2022,18:30:49,speedtest.insacom.cl:8080,80.23,15.13
21-02-2022,18:31:42,speedtest.insacom.cl:8080,43.79,13.76
21-02-2022,18:32:42,speedtest.insacom.cl:8080,204.81,14.05
21-02-2022,18:33:42,speedtest.insacom.cl:8080,170.04,28.38
21-02-2022,18:34:41,speedtest.insacom.cl:8080,43.51,24.98
21-02-2022,18:35:42,speedtest.insacom.cl:8080,185.52,41.94
21-02-2022,18:36:42,speedtest.insacom.cl:8080,107.73,17.02
21-02-2022,18:37:42,speedtest.insacom.cl:8080,82.28,22.88
21-02-2022,18:38:42,speedtest.insacom.cl:8080,222.26,12.18
21-02-2022,18:39:42,speedtest.insacom.cl:8080,155.86,19.56
21-02-2022,18:40:42,speedtest.insacom.cl:8080,195.41,13.32
21-02-2022,18:41:42,speedtest.insacom.cl:8080,151.88,30.23
21-02-2022,18:42:42,speedtest.insacom.cl:8080,91.56,14.81
21-02-2022,18:43:41,speedtest.insacom.cl:8080,67.89,6.62
21-02-2022,18:44:42,speedtest.insacom.cl:8080,44.73,30.41
21-02-2022,18:45:42,speedtest.insacom.cl:8080,179.39,34.7
21-02-2022,18:46:42,speedtest.insacom.cl:8080,104.54,17.38
21-02-2022,18:47:41,speedtest.insacom.cl:8080,105.14,14.28
21-02-2022,18:48:42,speedtest.insacom.cl:8080,88.09,51.75
21-02-2022,18:49:41,speedtest.insacom.cl:8080,77.67,17.1
21-02-2022,18:50:42,speedtest.insacom.cl:8080,116.36,11.14
21-02-2022,18:51:42,speedtest.insacom.cl:8080,85.03,13.11
21-02-2022,18:52:42,speedtest.insacom.cl:8080,123.94,16.72
21-02-2022,18:53:42,speedtest.insacom.cl:8080,90.13,18.15
21-02-2022,18:54:41,speedtest.insacom.cl:8080,138.14,14.72
21-02-2022,18:55:42,speedtest.insacom.cl:8080,80.02,20.87
21-02-2022,18:56:41,speedtest.insacom.cl:8080,48.82,31.64
21-02-2022,18:57:42,speedtest.insacom.cl:8080,173.92,15.22
21-02-2022,18:58:42,speedtest.insacom.cl:8080,39.04,14.98
21-02-2022,18:59:41,speedtest.insacom.cl:8080,48.66,28.18
21-02-2022,19:00:42,speedtest.insacom.cl:8080,97.06,13.23
21-02-2022,19:01:42,speedtest.insacom.cl:8080,141.48,16.18
21-02-2022,19:02:42,speedtest.insacom.cl:8080,59.57,14.33
21-02-2022,19:03:41,speedtest.insacom.cl:8080,155.55,32.4
21-02-2022,19:04:42,speedtest.insacom.cl:8080,97.43,19.06
21-02-2022,19:05:41,speedtest.insacom.cl:8080,63.95,14.73
21-02-2022,19:06:42,speedtest.insacom.cl:8080,81.22,30.15
21-02-2022,19:07:42,speedtest.insacom.cl:8080,165.15,14.8
21-02-2022,19:08:41,speedtest.insacom.cl:8080,220.09,25.12
21-02-2022,19:09:42,speedtest.insacom.cl:8080,82.93,32.15
21-02-2022,19:10:41,speedtest.insacom.cl:8080,243.66,21.98
21-02-2022,19:11:41,speedtest.insacom.cl:8080,131.55,14.49
21-02-2022,19:12:41,speedtest.insacom.cl:8080,232.04,17.78
21-02-2022,19:13:42,speedtest.insacom.cl:8080,132.81,35.56
21-02-2022,19:14:42,speedtest.insacom.cl:8080,98.1,11.64
21-02-2022,19:15:41,speedtest.insacom.cl:8080,211.49,19.7
21-02-2022,19:16:41,speedtest.insacom.cl:8080,243.58,30.66
21-02-2022,19:17:42,speedtest.insacom.cl:8080,128.64,26.18
21-02-2022,19:18:42,speedtest.insacom.cl:8080,160.19,16.88
21-02-2022,19:19:42,speedtest.insacom.cl:8080,37.82,30.21
21-02-2022,19:20:42,speedtest.insacom.cl:8080,46.11,42.09
21-02-2022,19:21:42,speedtest.insacom.cl:8080,150.11,28.81
21-02-2022,19:22:42,speedtest.insacom.cl:8080,88.03,23.5
21-02-2022,19:23:41,speedtest.insacom.cl:8080,131.74,19.97
21-02-2022,19:24:42,speedtest.insacom.cl:8080,160.3,25.74
21-02-2022,19:25:42,speedtest.insacom.cl:8080,42.85,25.45
21-02-2022,19:26:42,speedtest.insacom.cl:8080,115.55,17.57
21-02-2022,19:27:42,speedtest.insacom.cl:8080,119.2,6.24
21-02-2022,19:28:41,speedtest.insacom.cl:8080,144.27,13.84
21-02-2022,19:29:42,speedtest.insacom.cl:8080,184.62,34.89
