Duracion,Cantidad_de_paquetes_enviados,Cantidad_de_paquetes_recibidos,Cantidad_de_paquetes_perdidos,%_de_perdida
100.44,100,100,0,0.0
2.1,3,3,0,0.0
9.18,10,10,0,0.0
9.13,10,10,0,0.0
9.17,10,10,0,0.0
